code,meigara,kana,kuramoto,ken,shi,address,meigara_2,yomi,syurui,gennryoumai,seimaibuai,siyoukoubo,nihonnsyudo,sando,aminosanndo,amakarado,noutanndo,arukouru
7,男山（北海道）,おとこやま,男山,北海道,旭川市,北海道旭川市永山2条7丁目,男山  特醸 純米,,特別純米酒,,58%,,+5,1.5,,-0.61,-0.43,15度
7,男山（北海道）,おとこやま,男山,北海道,旭川市,北海道旭川市永山2条7丁目,男山  秘造り,,本醸造,,60%,,±0,1.3,,+0.08,-0.58,15%
7,男山（北海道）,おとこやま,男山,北海道,旭川市,北海道旭川市永山2条7丁目,男山  復古酒,,純米原酒,トヨニシキ,56%,協会701号,-50,3.4,3.2,+2.46,+5.72,16%
7,男山（北海道）,おとこやま,男山,北海道,旭川市,北海道旭川市永山2条7丁目,男山  木桶仕込み 純米原酒,,純米原酒,,60%,,-5,,,,,17%
7,男山（北海道）,おとこやま,男山,北海道,旭川市,北海道旭川市永山2条7丁目,男山  雪がこい,,,,55%,,+5,1.4,,-0.5,-0.61,15%
7,男山（北海道）,おとこやま,男山,北海道,旭川市,北海道旭川市永山2条7丁目,男山  笹おり,,特別純米生酒,,55%,,+5,1.4,,-0.5,-0.61,55%
22,南部蔵 富貴,なんぶぐら ふうき,合同酒精 八戸工場,青森県,八戸市,青森県八戸工場〒031-0072 青森県,南部蔵 富貴  特別純米酒,,特別純米酒,,60%,,+2,1.4,,-0.22,-0.48,
21,八鶴,はちつる,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県,八鶴  大吟醸,,大吟醸,山田錦,40%,,+4,1.5,,-0.52,-0.38,16%
21,八鶴,はちつる,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県,八鶴  純米大吟醸 華想い,,純米大吟醸,華想い,40%,,+5,1.8,,-0.96,+0.14,16%
21,八鶴,はちつる,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県,八鶴  純米吟醸,,純米吟醸,華吹雪,50%,,+2,1.7,,-0.57,+0.09,15～16%
21,八鶴,はちつる,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県,八鶴  SAKE8,,山廃純米,華吹雪,60%,,+3,1.6,,-0.54,-0.15,15～16%,ドイツ人デザイナー、コンスタンティン・グルチッチがデザイン。
21,八鶴,はちつる,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県,八鶴  純米酒,,純米酒,青森県産酒造好適米,60%,,+1.5,1.6,,-0.41,-0.08,15～16%
21,八鶴,はちつる,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県,八鶴  金撰,,普通酒,青森県産米,70%,,+1.5,1.3,,-0.06,-0.64,15～16%
3793,十魂,じゅっこん,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県,十魂  純米吟醸 生酒,,純米吟醸 生酒,華吹雪,55%,,+4,1.9,,-0.98,+0.37,17%
3331,三戸のどんべり,さんのへのどんべり,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県,三戸のどんべり  純米にごり酒,,純米酒 にごり酒,青森県産米,65%,,-20,1.6,,+1.62,+0.91,15～16%
24,陸奥八仙,むつはっせん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9,陸奥八仙  純米大吟醸,,純米大吟醸,美山錦,50%,,+3,,1.4,,,15～16度
24,陸奥八仙,むつはっせん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9,陸奥八仙  吟醸酒 ピンクラベル,,吟醸酒,麹米：華吹雪、掛米：まっしぐら,麹米：55%、掛米：60%,,-1,1.5,,-0.06,-0.15,16%
24,陸奥八仙,むつはっせん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9,陸奥八仙   吟醸 あらばしり シルバーラベル,, 吟醸 あらばしり 無濾過 生原酒,麹米：華吹雪、掛米：まっしぐら,麹米：55%、掛米：60%,まほろば、吟,-1,1.6,,-0.17,+0.03,18%
24,陸奥八仙,むつはっせん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9,陸奥八仙  特別純米酒 青ラベル,,特別純米酒 無濾過 生原酒 ふな酒,まっしぐら,60%,,+2,2,,-0.92,+0.65,17%
24,陸奥八仙,むつはっせん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9,陸奥八仙  特別純米酒 いさり火ラベル,,特別純米酒,華吹雪,60%,協会901号,+6,1.6,,-0.82,-0.28,16%,漁り火
24,陸奥八仙,むつはっせん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9,陸奥八仙  どぶろっく,,純米 活性にごり,まっしぐら,69%,協会1001号,-12,1.9,,+0.51,+1.1,16%
3664,裏 陸奥八仙,うら むつはっせん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9,裏 陸奥八仙  純米大吟醸,,純米大吟醸,華想い,50%,,,,,,,16%
3664,裏 陸奥八仙,うら むつはっせん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9,裏 陸奥八仙  純米吟醸 おりがらみ,,純米吟醸 無濾過 生原酒 おりがらみ,華吹雪,55%,,,,,,,17～18%
161,陸奥男山,むつおとこやま,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9,陸奥男山  超辛純米酒,,純米酒,,,,+15,1.9,,-1.99,-0.12,15.4%
161,陸奥男山,むつおとこやま,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9,陸奥男山  CLASSIC ヌーボー 生,,,まっしぐら,70%,,+5,1.3,,-0.38,-0.8,15%
164,陸奥山海,むつさんかい,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9,陸奥山海  普通酒,,普通酒,,70%,,+3,1.4,,-0.31,-0.52,
3404,稲生,いなおい,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2,稲生  純米吟醸 山田錦,,純米吟醸,山田錦,58%,,,,,,,
3404,稲生,いなおい,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2,稲生  特別純米酒 華吹雪 55,,特別純米酒,華吹雪,55%,,,,,,,15%
3404,稲生,いなおい,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2,稲生  夏純,,特別純米酒,華吹雪,60%,,,,,,,15%
158,八甲田おろし,はっこうだおろし,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2,八甲田おろし  吟醸,,吟醸,,50%,,+4,1.3,,-0.29,-0.76,
158,八甲田おろし,はっこうだおろし,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2,八甲田おろし  本醸造,,本醸造,,60%,,+5,1.3,,-0.38,-0.8,
3577,蒼川,そうせん,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2,蒼川  秀麗純米,,純米酒,,55%,,,,,,,
3756,武士道,ぶしどう,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2,武士道  純米大吟醸,,純米大吟醸,華さやか,50%,,,,,,,15%
